candidate_id,application_date,country,department,job_role,gender,current_stage,hired_flag,Applied_date,Screen_date,Interview_date,Offer_date,Hired_date
CAND000001,2025-07-26,France,Operations,Site Engineer,Male,Screen,0,2025-07-26,2025-07-30,,,
CAND000002,2025-08-30,UK,Customer Support,Customer Support Rep,Male,Screen,0,2025-08-30,2025-08-31,,,
CAND000003,2025-11-08,Ireland,Sales,Sales Executive,Male,Interview,0,2025-11-08,2025-11-12,2025-11-17,,
CAND000004,2026-01-26,UK,Supply Chain,Procurement Specialist,Male,Offer,0,2026-01-26,2026-01-28,2026-02-01,2026-02-10,
CAND000005,2026-03-01,France,Technology,Software Engineer,Male,Hired,1,2026-03-01,2026-03-02,2026-03-07,2026-03-14,2026-03-17
CAND000006,2025-11-13,UK,Sales,Account Manager,Male,Interview,0,2025-11-13,2025-11-16,2025-11-22,,
CAND000007,2025-08-13,Germany,Operations,Site Engineer,Male,Applied,0,2025-08-13,,,,
CAND000008,2025-06-25,Netherlands,Finance,Accountant,Male,Applied,0,2025-06-25,,,,
CAND000009,2025-05-14,UK,Finance,Accountant,Male,Hired,1,2025-05-14,2025-05-15,2025-05-21,2025-05-30,2025-06-05
CAND000010,2025-06-28,France,Finance,Financial Analyst,Male,Applied,0,2025-06-28,,,,
CAND000011,2025-08-30,Germany,Technology,Software Engineer,Male,Hired,1,2025-08-30,2025-09-03,2025-09-07,2025-09-12,2025-09-19
CAND000012,2026-02-13,UK,Customer Support,Customer Support Rep,Male,Applied,0,2026-02-13,,,,
CAND000013,2025-10-28,France,Commercial,Commercial Analyst,Male,Interview,0,2025-10-28,2025-10-30,2025-11-02,,
CAND000014,2025-10-25,UK,Commercial,Pricing Manager,Male,Interview,0,2025-10-25,2025-10-28,2025-11-02,,
CAND000015,2025-10-19,UK,Commercial,Pricing Manager,Female,Screen,0,2025-10-19,2025-10-23,,,
CAND000016,2026-03-10,UK,Finance,Accountant,Male,Interview,0,2026-03-10,2026-03-13,2026-03-18,,
CAND000017,2025-10-13,Germany,Technology,Data Engineer,Male,Screen,0,2025-10-13,2025-10-17,,,
CAND000018,2026-03-16,UK,Customer Support,Customer Support Rep,Male,Screen,0,2026-03-16,2026-03-20,,,
CAND000019,2026-03-26,UK,Finance,Accountant,Male,Applied,0,2026-03-26,,,,
CAND000020,2025-09-17,Netherlands,Customer Support,Customer Success Manager,Female,Screen,0,2025-09-17,2025-09-20,,,
CAND000021,2025-10-30,France,Operations,Construction Supervisor,Male,Applied,0,2025-10-30,,,,
CAND000022,2025-12-26,Germany,Sales,Sales Executive,Male,Screen,0,2025-12-26,2025-12-27,,,
CAND000023,2026-02-07,UK,Commercial,Commercial Analyst,Male,Screen,0,2026-02-07,2026-02-08,,,
