survey_id,employee_id,survey_date,country,department,engagement_score,wellbeing_score,manager_support_score,career_growth_score,inclusion_score,intent_to_leave_flag
SRV0000001,EMP00001,2025-03-31,UK,Supply Chain,53.6,52.4,62.3,58.0,62.4,1
SRV0000002,EMP00001,2025-09-30,UK,Supply Chain,58.9,43.7,55.0,49.4,66.0,1
SRV0000003,EMP00001,2026-03-31,UK,Supply Chain,60.4,41.8,55.1,44.2,64.8,1
SRV0000004,EMP00002,2025-03-31,Germany,Technology,61.4,53.2,69.8,60.2,58.3,0
SRV0000005,EMP00002,2025-09-30,Germany,Technology,62.3,55.7,60.9,61.9,60.4,0
SRV0000006,EMP00002,2026-03-31,Germany,Technology,72.7,60.6,63.6,62.7,66.2,1
SRV0000007,EMP00003,2025-03-31,Ireland,Customer Support,51.7,53.8,53.0,52.2,62.3,1
SRV0000008,EMP00003,2025-09-30,Ireland,Customer Support,63.2,61.1,56.7,49.0,65.7,0
SRV0000009,EMP00003,2026-03-31,Ireland,Customer Support,61.2,47.2,59.3,57.0,59.0,0
SRV0000010,EMP00004,2025-03-31,France,Technology,85.7,61.9,70.0,69.1,68.8,0
SRV0000011,EMP00004,2025-09-30,France,Technology,77.4,77.5,75.2,73.4,67.5,0
SRV0000012,EMP00004,2026-03-31,France,Technology,79.7,65.3,63.0,80.1,59.9,0
SRV0000013,EMP00005,2025-03-31,Ireland,Finance,70.8,70.3,73.8,69.1,63.8,0
SRV0000014,EMP00005,2025-09-30,Ireland,Finance,80.8,64.6,71.9,63.3,64.8,0
SRV0000015,EMP00005,2026-03-31,Ireland,Finance,84.7,65.3,79.0,75.7,65.1,0
SRV0000016,EMP00006,2025-03-31,UK,Sales,69.1,67.9,68.4,61.9,71.7,0
SRV0000017,EMP00006,2025-09-30,UK,Sales,70.5,65.5,66.4,70.2,72.3,0
SRV0000018,EMP00006,2026-03-31,UK,Sales,78.3,63.3,60.8,75.6,64.3,0
SRV0000019,EMP00007,2025-03-31,Ireland,Operations,52.4,48.4,57.1,49.5,62.4,1
SRV0000020,EMP00007,2025-09-30,Ireland,Operations,52.8,36.1,51.6,51.5,51.3,1
SRV0000021,EMP00007,2026-03-31,Ireland,Operations,37.5,44.9,49.3,48.2,61.6,1
SRV0000022,EMP00008,2025-03-31,Germany,Operations,22.4,32.7,46.0,40.4,46.9,0
SRV0000023,EMP00008,2025-09-30,Germany,Operations,30.8,21.8,44.7,32.3,44.5,0
SRV0000024,EMP00008,2026-03-31,Germany,Operations,17.5,16.4,34.0,43.4,48.8,1
SRV0000025,EMP00009,2025-03-31,France,People,92.7,77.1,72.9,72.2,73.9,0
SRV0000026,EMP00009,2025-09-30,France,People,79.2,82.1,73.4,72.5,68.3,0
SRV0000027,EMP00009,2026-03-31,France,People,80.3,81.6,71.2,80.9,68.7,0
SRV0000028,EMP00010,2025-03-31,UK,Supply Chain,57.1,61.4,59.8,61.1,63.8,0
SRV0000029,EMP00010,2025-09-30,UK,Supply Chain,66.8,43.3,59.4,57.7,68.7,0
SRV0000030,EMP00010,2026-03-31,UK,Supply Chain,59.3,44.8,66.2,50.2,68.7,0
SRV0000031,EMP00011,2025-03-31,UK,Supply Chain,38.6,42.5,58.1,48.1,58.3,0
SRV0000032,EMP00011,2025-09-30,UK,Supply Chain,44.3,40.6,47.1,47.6,52.4,0
SRV0000033,EMP00011,2026-03-31,UK,Supply Chain,37.4,39.1,57.3,52.2,63.0,0
SRV0000034,EMP00012,2025-03-31,UK,Sales,52.0,48.9,59.4,57.3,58.1,1
SRV0000035,EMP00012,2025-09-30,UK,Sales,60.6,50.6,56.4,53.4,57.2,0
SRV0000036,EMP00012,2026-03-31,UK,Sales,56.4,58.7,54.6,64.6,56.5,1
SRV0000037,EMP00013,2025-03-31,France,Technology,74.1,78.7,73.5,79.5,60.3,0
SRV0000038,EMP00013,2025-09-30,France,Technology,75.7,74.0,74.8,80.8,69.9,0
SRV0000039,EMP00013,2026-03-31,France,Technology,86.8,77.2,65.9,75.4,59.8,0
SRV0000040,EMP00014,2025-03-31,UK,Operations,49.2,43.4,66.5,57.0,67.8,0
SRV0000041,EMP00014,2025-09-30,UK,Operations,58.8,45.5,52.1,55.3,63.4,1
SRV0000042,EMP00014,2026-03-31,UK,Operations,49.9,38.3,56.6,56.5,60.3,1
SRV0000043,EMP00015,2025-03-31,UK,Supply Chain,62.7,50.1,62.7,50.9,61.1,0
SRV0000044,EMP00015,2025-09-30,UK,Supply Chain,57.9,60.2,56.9,60.4,58.7,1
SRV0000045,EMP00015,2026-03-31,UK,Supply Chain,64.6,54.7,61.8,54.4,69.6,0
SRV0000046,EMP00016,2025-03-31,UK,Supply Chain,53.3,57.4,57.3,52.6,66.4,0
SRV0000047,EMP00016,2025-09-30,UK,Supply Chain,63.8,53.7,53.4,53.6,56.9,0
SRV0000048,EMP00016,2026-03-31,UK,Supply Chain,59.1,44.6,53.4,55.5,59.8,1
SRV0000049,EMP00017,2025-03-31,UK,Operations,57.7,41.0,57.3,45.9,60.2,0
SRV0000050,EMP00017,2025-09-30,UK,Operations,54.6,44.2,45.5,45.2,57.2,0
SRV0000051,EMP00017,2026-03-31,UK,Operations,50.3,31.7,49.6,47.9,52.4,0
SRV0000052,EMP00018,2025-03-31,Netherlands,Operations,53.4,55.2,60.9,45.3,62.4,0
SRV0000053,EMP00018,2025-09-30,Netherlands,Operations,42.1,48.7,58.1,46.3,65.6,0
SRV0000054,EMP00018,2026-03-31,Netherlands,Operations,39.1,38.9,54.3,39.2,61.4,1
SRV0000055,EMP00019,2025-03-31,UK,Customer Support,67.5,59.8,69.2,63.3,68.5,0
SRV0000056,EMP00019,2025-09-30,UK,Customer Support,67.4,72.5,64.5,63.0,66.0,0
SRV0000057,EMP00019,2026-03-31,UK,Customer Support,65.6,60.3,64.4,55.9,59.9,0
SRV0000058,EMP00020,2025-03-31,UK,Customer Support,75.4,71.3,66.6,66.3,61.1,0
SRV0000059,EMP00020,2025-09-30,UK,Customer Support,78.3,70.3,69.3,64.2,63.0,0
SRV0000060,EMP00020,2026-03-31,UK,Customer Support,68.4,64.6,57.1,56.9,62.7,0
SRV0000061,EMP00021,2025-03-31,UK,Customer Support,62.8,48.5,61.0,56.0,60.7,0
SRV0000062,EMP00021,2025-09-30,UK,Customer Support,65.0,63.1,60.0,51.1,63.5,0
SRV0000063,EMP00021,2026-03-31,UK,Customer Support,66.4,54.9,60.3,48.1,70.2,0
SRV0000064,EMP00022,2025-03-31,UK,Operations,56.6,54.0,56.5,49.1,63.1,1
SRV0000065,EMP00022,2025-09-30,UK,Operations,55.7,51.1,59.2,46.8,62.4,0
SRV0000066,EMP00022,2026-03-31,UK,Operations,53.3,41.4,57.2,53.2,57.0,0
SRV0000067,EMP00023,2025-03-31,Netherlands,Operations,57.5,57.6,61.6,57.5,64.2,0
SRV0000068,EMP00023,2025-09-30,Netherlands,Operations,60.8,56.3,66.4,58.8,58.0,0
SRV0000069,EMP00023,2026-03-31,Netherlands,Operations,57.7,50.3,63.2,55.4,70.0,0
SRV0000070,EMP00024,2025-03-31,France,Customer Support,66.2,55.6,62.3,51.2,64.2,1
SRV0000071,EMP00024,2025-09-30,France,Customer Support,60.2,52.0,57.9,54.7,56.3,0
SRV0000072,EMP00024,2026-03-31,France,Customer Support,64.5,53.3,65.3,55.1,61.7,0
SRV0000073,EMP00025,2025-03-31,France,Customer Support,68.6,54.4,54.5,60.1,63.0,0
SRV0000074,EMP00025,2025-09-30,France,Customer Support,60.3,53.7,58.1,64.0,62.2,0
SRV0000075,EMP00025,2026-03-31,France,Customer Support,67.2,54.3,66.1,57.7,60.1,1
SRV0000076,EMP00026,2025-03-31,UK,Operations,54.1,41.2,57.8,54.7,61.8,0
SRV0000077,EMP00026,2025-09-30,UK,Operations,58.2,40.7,57.1,53.6,66.0,1
SRV0000078,EMP00026,2026-03-31,UK,Operations,49.3,34.7,59.7,56.8,60.4,0
SRV0000079,EMP00027,2025-03-31,UK,Supply Chain,75.8,63.7,66.3,64.8,62.5,0
SRV0000080,EMP00027,2025-09-30,UK,Supply Chain,69.8,61.0,58.8,54.2,64.3,0
SRV0000081,EMP00027,2026-03-31,UK,Supply Chain,58.1,46.9,58.0,53.8,59.5,1
SRV0000082,EMP00028,2025-03-31,UK,Operations,65.2,63.1,55.9,55.0,66.6,0
SRV0000083,EMP00028,2025-09-30,UK,Operations,59.3,49.6,59.1,52.0,61.3,1
SRV0000084,EMP00028,2026-03-31,UK,Operations,65.5,47.8,52.6,53.3,55.3,1
SRV0000085,EMP00029,2025-03-31,Germany,Operations,43.5,31.3,47.2,46.0,53.2,1
SRV0000086,EMP00029,2025-09-30,Germany,Operations,42.2,30.5,44.0,43.5,50.7,1
SRV0000087,EMP00029,2026-03-31,Germany,Operations,32.0,31.8,46.4,34.2,50.9,1
SRV0000088,EMP00030,2025-03-31,Germany,Operations,39.6,38.0,54.2,44.6,59.2,1
SRV0000089,EMP00030,2025-09-30,Germany,Operations,37.8,21.3,50.3,41.8,60.3,1
SRV0000090,EMP00030,2026-03-31,Germany,Operations,29.7,33.7,51.3,39.4,49.8,0
SRV0000091,EMP00031,2025-03-31,UK,Commercial,65.9,58.2,62.8,74.4,61.8,1
SRV0000092,EMP00031,2025-09-30,UK,Commercial,74.5,62.9,70.6,73.2,71.6,0
SRV0000093,EMP00031,2026-03-31,UK,Commercial,71.9,59.7,68.9,69.1,70.6,1
SRV0000094,EMP00032,2025-03-31,UK,Operations,38.7,39.2,66.5,41.6,54.9,1
SRV0000095,EMP00032,2025-09-30,UK,Operations,44.6,39.8,61.4,43.8,65.8,0
SRV0000096,EMP00032,2026-03-31,UK,Operations,33.6,37.5,52.5,42.5,58.6,1
SRV0000097,EMP00033,2025-03-31,UK,Technology,79.4,79.0,77.2,72.3,65.8,0
SRV0000098,EMP00033,2025-09-30,UK,Technology,72.3,62.3,78.0,71.2,70.9,0
SRV0000099,EMP00033,2026-03-31,UK,Technology,84.8,76.0,76.9,68.7,63.3,0
SRV0000100,EMP00034,2025-03-31,Germany,Operations,28.7,33.3,52.7,29.6,55.0,1
SRV0000101,EMP00034,2025-09-30,Germany,Operations,21.8,18.3,49.9,35.1,54.0,1
SRV0000102,EMP00034,2026-03-31,Germany,Operations,27.4,16.1,54.9,29.3,51.9,1
SRV0000103,EMP00035,2025-03-31,Germany,People,63.6,54.2,69.6,66.3,67.2,0
SRV0000104,EMP00035,2025-09-30,Germany,People,62.8,60.3,69.9,64.5,76.2,0
SRV0000105,EMP00035,2026-03-31,Germany,People,71.8,65.8,68.2,64.6,72.3,0
SRV0000106,EMP00036,2025-03-31,Germany,Supply Chain,33.1,29.2,41.4,30.9,46.6,1
SRV0000107,EMP00036,2025-09-30,Germany,Supply Chain,34.2,17.9,40.9,44.9,55.9,0
SRV0000108,EMP00036,2026-03-31,Germany,Supply Chain,25.6,29.3,45.1,40.3,48.3,1
SRV0000109,EMP00037,2025-03-31,UK,Operations,42.5,35.4,46.6,32.9,49.1,0
SRV0000110,EMP00037,2025-09-30,UK,Operations,37.3,23.8,47.1,39.7,51.7,1
SRV0000111,EMP00037,2026-03-31,UK,Operations,29.1,26.0,53.9,34.1,55.1,0
SRV0000112,EMP00038,2025-03-31,UK,Customer Support,69.1,58.5,66.4,60.2,70.2,0
SRV0000113,EMP00038,2025-09-30,UK,Customer Support,74.4,52.9,65.0,56.7,64.2,1
SRV0000114,EMP00038,2026-03-31,UK,Customer Support,74.7,57.3,66.6,53.0,59.6,0
SRV0000115,EMP00039,2025-03-31,UK,Customer Support,79.2,57.8,65.3,70.8,59.7,0
SRV0000116,EMP00039,2025-09-30,UK,Customer Support,74.4,68.0,61.7,68.1,69.8,0
SRV0000117,EMP00039,2026-03-31,UK,Customer Support,74.4,58.8,63.8,63.0,71.4,0
SRV0000118,EMP00040,2025-03-31,Ireland,Sales,59.4,47.7,57.1,56.0,61.3,1
SRV0000119,EMP00040,2025-09-30,Ireland,Sales,60.1,54.7,61.3,51.8,60.7,0
SRV0000120,EMP00040,2026-03-31,Ireland,Sales,60.9,49.1,65.6,56.2,60.6,0
SRV0000121,EMP00041,2025-03-31,UK,Supply Chain,74.2,63.2,63.0,57.9,62.9,0
SRV0000122,EMP00041,2025-09-30,UK,Supply Chain,73.4,65.7,55.3,66.0,68.8,0
SRV0000123,EMP00041,2026-03-31,UK,Supply Chain,61.3,52.5,56.0,56.4,63.2,0
SRV0000124,EMP00042,2025-03-31,Ireland,Operations,40.7,38.1,56.8,44.0,55.9,1
SRV0000125,EMP00042,2025-09-30,Ireland,Operations,40.0,43.4,56.6,47.6,55.7,1
SRV0000126,EMP00042,2026-03-31,Ireland,Operations,48.0,39.0,44.7,39.4,64.9,1
SRV0000127,EMP00043,2025-03-31,UK,Operations,56.6,54.7,60.2,44.0,64.3,1
SRV0000128,EMP00043,2025-09-30,UK,Operations,59.9,43.8,56.5,56.2,63.5,1
SRV0000129,EMP00043,2026-03-31,UK,Operations,51.1,42.2,60.0,54.7,66.8,0
SRV0000130,EMP00044,2025-03-31,UK,Operations,69.4,48.6,61.8,54.6,60.1,1
SRV0000131,EMP00044,2025-09-30,UK,Operations,68.1,54.1,60.7,64.5,66.0,1
SRV0000132,EMP00044,2026-03-31,UK,Operations,68.1,45.6,61.6,52.0,61.5,0
SRV0000133,EMP00045,2025-03-31,France,Customer Support,35.7,35.7,62.9,37.5,55.5,0
SRV0000134,EMP00045,2025-09-30,France,Customer Support,37.4,39.4,54.7,43.0,57.3,0
SRV0000135,EMP00045,2026-03-31,France,Customer Support,44.2,45.6,60.7,50.5,61.2,1
SRV0000136,EMP00046,2025-03-31,Germany,Operations,29.9,37.1,53.0,30.4,57.8,1
SRV0000137,EMP00046,2025-09-30,Germany,Operations,33.7,34.3,51.3,43.5,56.0,0
SRV0000138,EMP00046,2026-03-31,Germany,Operations,33.0,34.4,50.2,35.5,58.7,1
SRV0000139,EMP00047,2025-03-31,UK,People,90.4,76.9,78.1,81.7,72.3,0
SRV0000140,EMP00047,2025-09-30,UK,People,90.7,78.9,79.9,73.6,83.6,0
SRV0000141,EMP00047,2026-03-31,UK,People,97.7,81.2,77.3,86.4,79.8,0
SRV0000142,EMP00048,2025-03-31,France,Operations,64.9,58.2,51.9,50.5,53.2,0
SRV0000143,EMP00048,2025-09-30,France,Operations,49.3,52.7,57.1,49.8,64.5,1
SRV0000144,EMP00048,2026-03-31,France,Operations,54.5,43.2,47.8,46.6,53.0,1
SRV0000145,EMP00049,2025-03-31,UK,Operations,56.3,43.7,64.5,47.7,65.8,0
SRV0000146,EMP00049,2025-09-30,UK,Operations,57.0,43.0,62.3,54.1,64.2,0
SRV0000147,EMP00049,2026-03-31,UK,Operations,50.9,49.0,58.2,54.0,59.6,1
SRV0000148,EMP00050,2025-03-31,Germany,Customer Support,45.7,51.5,52.6,48.9,58.2,1
SRV0000149,EMP00050,2025-09-30,Germany,Customer Support,59.0,41.2,52.9,47.7,60.3,1
SRV0000150,EMP00050,2026-03-31,Germany,Customer Support,55.4,45.5,49.7,54.4,53.4,1
SRV0000151,EMP00051,2025-03-31,Germany,Technology,53.0,50.4,58.6,68.5,50.4,1
SRV0000152,EMP00051,2025-09-30,Germany,Technology,63.3,54.1,52.6,69.8,52.9,0
SRV0000153,EMP00051,2026-03-31,Germany,Technology,69.2,52.7,61.7,60.4,57.4,1
SRV0000154,EMP00052,2025-03-31,Germany,Commercial,71.2,55.7,58.2,59.6,65.0,0
SRV0000155,EMP00052,2025-09-30,Germany,Commercial,70.9,63.0,57.7,71.7,64.8,0
SRV0000156,EMP00052,2026-03-31,Germany,Commercial,60.0,57.0,63.3,73.3,67.0,0
SRV0000157,EMP00053,2025-03-31,Netherlands,Operations,71.7,66.5,66.8,62.3,66.5,0
SRV0000158,EMP00053,2025-09-30,Netherlands,Operations,73.0,58.8,62.2,56.6,70.2,1
SRV0000159,EMP00053,2026-03-31,Netherlands,Operations,60.6,50.2,51.3,55.5,66.1,1
SRV0000160,EMP00054,2025-03-31,UK,Supply Chain,66.4,62.9,63.3,55.3,56.7,0
SRV0000161,EMP00054,2025-09-30,UK,Supply Chain,55.8,60.0,63.0,58.1,68.8,0
SRV0000162,EMP00054,2026-03-31,UK,Supply Chain,59.8,56.4,53.8,54.5,65.7,0
SRV0000163,EMP00055,2025-03-31,UK,Customer Support,53.1,52.7,59.8,47.3,59.4,0
SRV0000164,EMP00055,2025-09-30,UK,Customer Support,57.0,65.9,70.4,58.0,68.6,0
SRV0000165,EMP00055,2026-03-31,UK,Customer Support,54.2,51.8,67.5,61.8,60.1,0
SRV0000166,EMP00056,2025-03-31,France,Operations,53.7,40.5,58.7,46.9,57.4,0
SRV0000167,EMP00056,2025-09-30,France,Operations,46.1,36.5,54.2,52.1,53.8,0
SRV0000168,EMP00056,2026-03-31,France,Operations,45.7,44.3,48.9,37.8,59.4,1
SRV0000169,EMP00057,2025-03-31,UK,Sales,73.2,58.7,70.3,69.0,65.7,1
SRV0000170,EMP00057,2025-09-30,UK,Sales,80.1,75.4,60.7,72.7,60.6,1
SRV0000171,EMP00057,2026-03-31,UK,Sales,82.0,62.2,66.6,68.2,62.5,0
SRV0000172,EMP00058,2025-03-31,UK,Operations,48.5,45.0,67.4,55.4,59.9,1
SRV0000173,EMP00058,2025-09-30,UK,Operations,48.5,47.2,60.2,46.9,55.6,0
SRV0000174,EMP00058,2026-03-31,UK,Operations,46.5,48.9,51.0,49.3,63.8,1
