learning_record_id,employee_id,course_id,course_name,mandatory_flag,assignment_date,due_date,completion_date,completion_status,days_to_complete,overdue_flag,department,country
LRN0000001,EMP00001,C001,Code of Conduct,1,2025-02-25,2025-03-28,2025-03-20,Completed,23.0,0,Supply Chain,UK
LRN0000002,EMP00001,C004,Leadership Essentials,0,2026-03-17,2026-06-11,,Incomplete,,0,Supply Chain,UK
LRN0000003,EMP00002,C003,Data Protection,1,2025-08-22,2025-09-29,2025-08-29,Completed,7.0,0,Technology,Germany
LRN0000004,EMP00002,C005,Stakeholder Management,0,2025-08-28,2025-11-17,,Incomplete,,1,Technology,Germany
LRN0000005,EMP00002,C006,Advanced Analytics,0,2025-02-20,2025-05-19,2025-02-27,Completed,7.0,0,Technology,Germany
LRN0000006,EMP00003,C001,Code of Conduct,1,2026-02-04,2026-03-10,2026-03-07,Completed,31.0,0,Customer Support,Ireland
LRN0000007,EMP00003,C006,Advanced Analytics,0,2025-03-19,2025-06-20,,Incomplete,,1,Customer Support,Ireland
LRN0000008,EMP00003,C005,Stakeholder Management,0,2025-09-17,2025-12-21,2025-10-05,Completed,18.0,0,Customer Support,Ireland
LRN0000009,EMP00004,C001,Code of Conduct,1,2025-08-12,2025-09-16,2025-08-29,Completed,17.0,0,Technology,France
LRN0000010,EMP00004,C004,Leadership Essentials,0,2025-07-19,2025-09-29,2025-08-13,Completed,25.0,0,Technology,France
LRN0000011,EMP00005,C002,Health and Safety,1,2026-01-18,2026-03-01,2026-01-21,Completed,3.0,0,Finance,Ireland
LRN0000012,EMP00005,C006,Advanced Analytics,0,2025-02-26,2025-05-28,2025-03-05,Completed,7.0,0,Finance,Ireland
LRN0000013,EMP00005,C005,Stakeholder Management,0,2025-12-13,2026-03-13,,Incomplete,,1,Finance,Ireland
LRN0000014,EMP00006,C001,Code of Conduct,1,2025-07-15,2025-08-10,2025-08-02,Completed,18.0,0,Sales,UK
LRN0000015,EMP00006,C006,Advanced Analytics,0,2025-10-12,2026-01-05,2025-11-04,Completed,23.0,0,Sales,UK
LRN0000016,EMP00007,C002,Health and Safety,1,2026-01-01,2026-02-09,,Incomplete,,1,Operations,Ireland
LRN0000017,EMP00007,C006,Advanced Analytics,0,2025-02-23,2025-05-26,2025-04-26,Completed,62.0,0,Operations,Ireland
LRN0000018,EMP00008,C003,Data Protection,1,2025-01-22,2025-03-07,,Incomplete,,1,Operations,Germany
LRN0000019,EMP00008,C004,Leadership Essentials,0,2025-05-16,2025-08-01,,Incomplete,,1,Operations,Germany
LRN0000020,EMP00008,C006,Advanced Analytics,0,2025-12-26,2026-03-23,,Incomplete,,1,Operations,Germany
LRN0000021,EMP00009,C002,Health and Safety,1,2025-03-26,2025-05-11,2025-03-28,Completed,2.0,0,People,France
LRN0000022,EMP00009,C006,Advanced Analytics,0,2025-10-26,2026-01-22,2025-10-28,Completed,2.0,0,People,France
LRN0000023,EMP00010,C003,Data Protection,1,2026-02-15,2026-03-15,2026-02-23,Completed,8.0,0,Supply Chain,UK
LRN0000024,EMP00010,C005,Stakeholder Management,0,2025-01-08,2025-04-08,,Incomplete,,1,Supply Chain,UK
LRN0000025,EMP00011,C003,Data Protection,1,2025-01-15,2025-02-16,,Incomplete,,1,Supply Chain,UK
LRN0000026,EMP00011,C005,Stakeholder Management,0,2025-06-23,2025-09-09,,Incomplete,,1,Supply Chain,UK
LRN0000027,EMP00012,C003,Data Protection,1,2025-04-30,2025-05-31,,Incomplete,,1,Sales,UK
