country,department,job_role,gender,application_month,application_count,screen_count,interview_count,offer_count,hired_count,screen_rate,interview_rate,offer_rate,hire_rate
Netherlands,Finance,Accountant,Male,2025-06-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
UK,Commercial,Commercial Analyst,Male,2025-09-01 00:00:00,20,15,9,3,3,0.75,0.45,0.15,0.15
France,Commercial,Commercial Analyst,Male,2025-05-01 00:00:00,4,2,2,2,1,0.5,0.5,0.5,0.25
Germany,Commercial,Commercial Analyst,Male,2025-10-01 00:00:00,8,7,4,2,2,0.875,0.5,0.25,0.25
Germany,Finance,Financial Analyst,Male,2025-05-01 00:00:00,6,6,2,0,0,1.0,0.3333,0.0,0.0
Germany,Technology,Data Engineer,Male,2025-04-01 00:00:00,6,4,4,3,3,0.6667,0.6667,0.5,0.5
Germany,Sales,Account Manager,Male,2025-05-01 00:00:00,7,7,7,1,0,1.0,1.0,0.1429,0.0
France,Sales,Account Manager,Male,2026-01-01 00:00:00,6,5,2,1,1,0.8333,0.3333,0.1667,0.1667
Germany,Operations,Project Manager,Male,2026-03-01 00:00:00,5,3,2,1,0,0.6,0.4,0.2,0.0
Germany,Technology,Data Analyst,Male,2025-09-01 00:00:00,4,2,1,0,0,0.5,0.25,0.0,0.0
Germany,Supply Chain,Warehouse Manager,Male,2026-01-01 00:00:00,8,5,3,1,0,0.625,0.375,0.125,0.0
UK,Finance,Financial Analyst,Male,2025-10-01 00:00:00,23,19,6,4,1,0.8261,0.2609,0.1739,0.0435
UK,Sales,Account Manager,Male,2025-12-01 00:00:00,25,21,15,6,4,0.84,0.6,0.24,0.16
France,Technology,Software Engineer,Female,2025-04-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
UK,Supply Chain,Logistics Coordinator,Male,2026-02-01 00:00:00,14,9,8,3,2,0.6429,0.5714,0.2143,0.1429
UK,Operations,Site Engineer,Male,2026-02-01 00:00:00,17,12,5,0,0,0.7059,0.2941,0.0,0.0
Germany,Supply Chain,Warehouse Manager,Male,2025-08-01 00:00:00,9,4,3,2,2,0.4444,0.3333,0.2222,0.2222
France,Commercial,Commercial Analyst,Male,2025-08-01 00:00:00,6,5,4,1,1,0.8333,0.6667,0.1667,0.1667
Germany,Finance,Financial Analyst,Male,2025-08-01 00:00:00,9,5,2,1,1,0.5556,0.2222,0.1111,0.1111
UK,Technology,Software Engineer,Male,2025-07-01 00:00:00,17,13,8,5,4,0.7647,0.4706,0.2941,0.2353
Germany,Operations,Site Engineer,Male,2025-04-01 00:00:00,6,3,1,0,0,0.5,0.1667,0.0,0.0
Germany,Sales,Sales Executive,Female,2026-01-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
Germany,Technology,Software Engineer,Male,2025-10-01 00:00:00,5,5,3,0,0,1.0,0.6,0.0,0.0
France,Sales,Account Manager,Female,2026-02-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
UK,People,HR Business Partner,Female,2025-12-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Germany,Sales,Account Manager,Male,2025-08-01 00:00:00,5,2,1,0,0,0.4,0.2,0.0,0.0
UK,Finance,Financial Analyst,Female,2025-09-01 00:00:00,4,4,4,3,2,1.0,1.0,0.75,0.5
UK,Operations,Construction Supervisor,Male,2025-07-01 00:00:00,18,12,6,3,2,0.6667,0.3333,0.1667,0.1111
UK,People,HR Business Partner,Male,2025-10-01 00:00:00,28,18,11,7,4,0.6429,0.3929,0.25,0.1429
France,Finance,Accountant,Female,2026-03-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Supply Chain,Procurement Specialist,Male,2025-10-01 00:00:00,5,3,1,0,0,0.6,0.2,0.0,0.0
Netherlands,Supply Chain,Logistics Coordinator,Female,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Operations,Project Manager,Male,2025-04-01 00:00:00,5,1,1,0,0,0.2,0.2,0.0,0.0
Ireland,Finance,Financial Analyst,Male,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Commercial,Commercial Analyst,Male,2025-07-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Ireland,Supply Chain,Procurement Specialist,Male,2025-12-01 00:00:00,5,4,0,0,0,0.8,0.0,0.0,0.0
UK,Supply Chain,Logistics Coordinator,Female,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Commercial,Pricing Manager,Male,2025-07-01 00:00:00,12,9,8,2,2,0.75,0.6667,0.1667,0.1667
France,Customer Support,Customer Success Manager,Male,2025-06-01 00:00:00,4,1,0,0,0,0.25,0.0,0.0,0.0
UK,Technology,Data Engineer,Male,2025-11-01 00:00:00,8,6,3,2,2,0.75,0.375,0.25,0.25
France,Sales,Account Manager,Male,2025-05-01 00:00:00,7,4,2,1,0,0.5714,0.2857,0.1429,0.0
Germany,Operations,Construction Supervisor,Male,2025-09-01 00:00:00,8,5,4,2,1,0.625,0.5,0.25,0.125
Ireland,Technology,Software Engineer,Male,2025-09-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
UK,Sales,Sales Executive,Female,2025-06-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
France,Technology,Data Engineer,Male,2025-04-01 00:00:00,4,4,2,2,2,1.0,0.5,0.5,0.5
Netherlands,Technology,Data Analyst,Male,2025-09-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
Germany,Technology,Data Engineer,Female,2025-09-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Finance,Accountant,Male,2025-07-01 00:00:00,4,2,2,2,2,0.5,0.5,0.5,0.5
Germany,Finance,Accountant,Male,2025-10-01 00:00:00,8,6,3,2,2,0.75,0.375,0.25,0.25
France,Technology,Data Analyst,Female,2025-10-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
Germany,Finance,Financial Analyst,Male,2026-01-01 00:00:00,4,3,2,0,0,0.75,0.5,0.0,0.0
France,People,HR Business Partner,Male,2025-10-01 00:00:00,4,3,1,0,0,0.75,0.25,0.0,0.0
Ireland,Customer Support,Customer Success Manager,Male,2025-10-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
France,Technology,Data Analyst,Male,2025-12-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
UK,Technology,Software Engineer,Female,2025-12-01 00:00:00,5,3,3,1,0,0.6,0.6,0.2,0.0
Netherlands,Technology,Software Engineer,Male,2025-08-01 00:00:00,4,2,1,1,1,0.5,0.25,0.25,0.25
France,Commercial,Commercial Analyst,Male,2026-01-01 00:00:00,5,4,3,1,1,0.8,0.6,0.2,0.2
France,Commercial,Commercial Analyst,Female,2026-02-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Commercial,Pricing Manager,Female,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Sales,Sales Executive,Male,2025-04-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
Germany,Sales,Account Manager,Female,2025-04-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
France,People,HR Advisor,Female,2025-11-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
France,Finance,Financial Analyst,Female,2025-09-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Technology,Data Engineer,Male,2025-06-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
France,Operations,Site Engineer,Male,2026-03-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
Netherlands,Supply Chain,Logistics Coordinator,Male,2025-10-01 00:00:00,4,3,2,2,2,0.75,0.5,0.5,0.5
Netherlands,Customer Support,Customer Success Manager,Male,2025-11-01 00:00:00,3,3,2,1,1,1.0,0.6667,0.3333,0.3333
Netherlands,Sales,Sales Executive,Female,2026-01-01 00:00:00,2,2,2,1,0,1.0,1.0,0.5,0.0
France,Finance,Financial Analyst,Male,2025-10-01 00:00:00,4,4,3,2,1,1.0,0.75,0.5,0.25
UK,Finance,Accountant,Female,2026-02-01 00:00:00,3,2,2,1,1,0.6667,0.6667,0.3333,0.3333
France,Operations,Construction Supervisor,Male,2025-07-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Ireland,People,HR Advisor,Male,2025-09-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
Ireland,Supply Chain,Warehouse Manager,Male,2025-09-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,Commercial,Pricing Manager,Female,2025-12-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Operations,Construction Supervisor,Female,2025-10-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Supply Chain,Warehouse Manager,Male,2025-05-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Netherlands,Finance,Financial Analyst,Male,2025-06-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
UK,People,HR Advisor,Female,2025-06-01 00:00:00,4,3,1,1,1,0.75,0.25,0.25,0.25
Germany,Sales,Account Manager,Male,2026-01-01 00:00:00,5,3,3,0,0,0.6,0.6,0.0,0.0
Netherlands,Technology,Software Engineer,Male,2026-01-01 00:00:00,3,1,1,1,1,0.3333,0.3333,0.3333,0.3333
France,Sales,Account Manager,Male,2025-08-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Germany,Finance,Accountant,Female,2026-03-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Technology,Software Engineer,Female,2025-10-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Sales,Sales Executive,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Supply Chain,Procurement Specialist,Female,2026-03-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Technology,Software Engineer,Male,2025-05-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Operations,Site Engineer,Male,2026-02-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Commercial,Pricing Manager,Female,2026-03-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Male,2026-02-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Operations,Project Manager,Female,2025-08-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Germany,Commercial,Commercial Analyst,Female,2026-02-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Technology,Data Analyst,Female,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Supply Chain,Procurement Specialist,Male,2025-12-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Technology,Data Analyst,Female,2025-10-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Customer Support,Customer Support Rep,Male,2025-08-01 00:00:00,23,14,9,2,1,0.6087,0.3913,0.087,0.0435
UK,Commercial,Commercial Analyst,Male,2026-02-01 00:00:00,21,14,7,3,2,0.6667,0.3333,0.1429,0.0952
Germany,Operations,Project Manager,Male,2025-11-01 00:00:00,5,4,2,0,0,0.8,0.4,0.0,0.0
Germany,Supply Chain,Logistics Coordinator,Male,2025-06-01 00:00:00,5,3,0,0,0,0.6,0.0,0.0,0.0
UK,Customer Support,Customer Support Rep,Male,2025-05-01 00:00:00,26,18,8,3,3,0.6923,0.3077,0.1154,0.1154
UK,Customer Support,Customer Support Rep,Male,2026-01-01 00:00:00,27,22,11,7,6,0.8148,0.4074,0.2593,0.2222
Netherlands,Technology,Data Analyst,Male,2026-02-01 00:00:00,2,2,2,0,0,1.0,1.0,0.0,0.0
