country,department,course_name,mandatory_flag,assignment_month,learning_record_count,completed_count,overdue_count,completion_rate,overdue_rate,avg_days_to_complete
Netherlands,Operations,Advanced Analytics,0,2025-04-01 00:00:00,4,2,2,0.5,0.5,12.5
UK,Technology,Stakeholder Management,0,2025-11-01 00:00:00,4,4,0,1.0,0.0,15.3
Germany,People,Stakeholder Management,0,2025-03-01 00:00:00,1,0,1,0.0,1.0,
UK,Customer Support,Health and Safety,1,2025-11-01 00:00:00,6,3,3,0.5,0.5,18.0
Ireland,Sales,Leadership Essentials,0,2026-01-01 00:00:00,1,0,0,0.0,0.0,
UK,Supply Chain,Code of Conduct,1,2025-09-01 00:00:00,7,6,1,0.8571,0.1429,24.0
Germany,Operations,Health and Safety,1,2025-07-01 00:00:00,5,4,1,0.8,0.2,34.0
Germany,Finance,Leadership Essentials,0,2025-02-01 00:00:00,4,1,3,0.25,0.75,5.0
Germany,Operations,Leadership Essentials,0,2025-12-01 00:00:00,10,2,8,0.2,0.8,64.0
France,Supply Chain,Data Protection,1,2025-02-01 00:00:00,2,1,1,0.5,0.5,20.0
UK,Operations,Stakeholder Management,0,2025-09-01 00:00:00,16,6,10,0.375,0.625,40.3
UK,Sales,Code of Conduct,1,2025-12-01 00:00:00,5,4,1,0.8,0.2,13.0
UK,Operations,Advanced Analytics,0,2025-04-01 00:00:00,13,3,10,0.2308,0.7692,39.3
UK,Finance,Advanced Analytics,0,2025-06-01 00:00:00,1,1,0,1.0,0.0,15.0
UK,Operations,Code of Conduct,1,2025-04-01 00:00:00,10,5,5,0.5,0.5,27.6
UK,Finance,Leadership Essentials,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,2.0
UK,Supply Chain,Data Protection,1,2026-03-01 00:00:00,4,4,0,1.0,0.0,5.0
UK,Technology,Data Protection,1,2025-11-01 00:00:00,3,2,1,0.6667,0.3333,11.5
UK,Operations,Leadership Essentials,0,2025-07-01 00:00:00,12,4,8,0.3333,0.6667,38.0
France,Operations,Leadership Essentials,0,2025-07-01 00:00:00,4,2,2,0.5,0.5,34.0
UK,Operations,Data Protection,1,2026-03-01 00:00:00,6,2,0,0.3333,0.0,9.0
Germany,Supply Chain,Health and Safety,1,2025-07-01 00:00:00,1,0,1,0.0,1.0,
Germany,Supply Chain,Stakeholder Management,0,2025-01-01 00:00:00,5,1,4,0.2,0.8,23.0
UK,Sales,Health and Safety,1,2025-07-01 00:00:00,3,2,1,0.6667,0.3333,10.0
Germany,Technology,Stakeholder Management,0,2025-10-01 00:00:00,4,2,2,0.5,0.5,5.0
Netherlands,Commercial,Stakeholder Management,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,21.0
France,Operations,Stakeholder Management,0,2025-04-01 00:00:00,2,0,2,0.0,1.0,
France,Supply Chain,Code of Conduct,1,2025-04-01 00:00:00,3,0,3,0.0,1.0,
Ireland,Finance,Leadership Essentials,0,2025-04-01 00:00:00,1,1,0,1.0,0.0,14.0
UK,Technology,Stakeholder Management,0,2025-01-01 00:00:00,5,5,0,1.0,0.0,8.4
UK,Technology,Leadership Essentials,0,2025-12-01 00:00:00,5,4,1,0.8,0.2,16.3
Germany,Sales,Leadership Essentials,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,31.0
UK,People,Stakeholder Management,0,2026-02-01 00:00:00,5,3,0,0.6,0.0,13.0
Germany,Commercial,Leadership Essentials,0,2025-06-01 00:00:00,2,2,0,1.0,0.0,16.5
Germany,Customer Support,Health and Safety,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,23.0
Netherlands,Supply Chain,Health and Safety,1,2025-02-01 00:00:00,2,1,1,0.5,0.5,36.0
Germany,Finance,Health and Safety,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,4.0
Germany,Supply Chain,Advanced Analytics,0,2025-07-01 00:00:00,2,0,2,0.0,1.0,
France,People,Advanced Analytics,0,2025-01-01 00:00:00,2,2,0,1.0,0.0,9.5
UK,Customer Support,Stakeholder Management,0,2025-10-01 00:00:00,4,0,4,0.0,1.0,
UK,People,Data Protection,1,2025-12-01 00:00:00,2,2,0,1.0,0.0,6.0
UK,Commercial,Advanced Analytics,0,2025-10-01 00:00:00,4,2,2,0.5,0.5,26.5
UK,Commercial,Leadership Essentials,0,2025-04-01 00:00:00,6,3,3,0.5,0.5,16.3
France,Customer Support,Advanced Analytics,0,2025-03-01 00:00:00,1,0,1,0.0,1.0,
France,People,Data Protection,1,2025-04-01 00:00:00,1,1,0,1.0,0.0,6.0
France,Sales,Code of Conduct,1,2025-10-01 00:00:00,1,0,1,0.0,1.0,
France,Finance,Stakeholder Management,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,8.0
France,Supply Chain,Advanced Analytics,0,2026-02-01 00:00:00,4,1,0,0.25,0.0,37.0
UK,People,Health and Safety,1,2025-04-01 00:00:00,2,2,0,1.0,0.0,4.5
France,Technology,Stakeholder Management,0,2025-10-01 00:00:00,2,1,1,0.5,0.5,8.0
Netherlands,Technology,Leadership Essentials,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,13.0
Netherlands,Technology,Stakeholder Management,0,2025-09-01 00:00:00,2,1,1,0.5,0.5,25.0
Netherlands,Sales,Health and Safety,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,4.0
France,Technology,Advanced Analytics,0,2025-09-01 00:00:00,3,1,2,0.3333,0.6667,7.0
Germany,Supply Chain,Code of Conduct,1,2026-01-01 00:00:00,1,0,1,0.0,1.0,
Germany,Supply Chain,Data Protection,1,2025-04-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Sales,Leadership Essentials,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Technology,Data Protection,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,11.0
Germany,Technology,Leadership Essentials,0,2026-02-01 00:00:00,2,0,0,0.0,0.0,
Germany,Operations,Stakeholder Management,0,2025-01-01 00:00:00,5,0,5,0.0,1.0,
Netherlands,Commercial,Leadership Essentials,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,16.0
Ireland,Sales,Leadership Essentials,0,2025-08-01 00:00:00,1,0,1,0.0,1.0,
UK,Sales,Stakeholder Management,0,2025-04-01 00:00:00,3,3,0,1.0,0.0,19.0
France,Customer Support,Advanced Analytics,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
Germany,Customer Support,Data Protection,1,2026-03-01 00:00:00,1,1,0,1.0,0.0,21.0
France,Technology,Leadership Essentials,0,2025-05-01 00:00:00,2,1,1,0.5,0.5,9.0
France,Supply Chain,Leadership Essentials,0,2026-02-01 00:00:00,1,0,0,0.0,0.0,
Netherlands,Finance,Leadership Essentials,0,2025-03-01 00:00:00,2,2,0,1.0,0.0,5.0
UK,Commercial,Stakeholder Management,0,2026-03-01 00:00:00,3,2,0,0.6667,0.0,9.5
UK,Customer Support,Health and Safety,1,2025-01-01 00:00:00,3,3,0,1.0,0.0,18.7
Germany,People,Leadership Essentials,0,2025-12-01 00:00:00,2,1,1,0.5,0.5,3.0
Germany,Supply Chain,Code of Conduct,1,2025-05-01 00:00:00,3,2,1,0.6667,0.3333,32.5
Germany,Customer Support,Leadership Essentials,0,2026-02-01 00:00:00,2,1,0,0.5,0.0,34.0
UK,Customer Support,Data Protection,1,2025-02-01 00:00:00,6,6,0,1.0,0.0,17.5
Netherlands,Finance,Leadership Essentials,0,2025-05-01 00:00:00,1,1,0,1.0,0.0,18.0
Germany,Operations,Data Protection,1,2025-09-01 00:00:00,4,2,2,0.5,0.5,44.0
Netherlands,Commercial,Code of Conduct,1,2025-10-01 00:00:00,1,1,0,1.0,0.0,18.0
Netherlands,Finance,Code of Conduct,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,9.0
France,Customer Support,Advanced Analytics,0,2026-01-01 00:00:00,1,1,0,1.0,0.0,20.0
Ireland,Supply Chain,Code of Conduct,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,41.0
Germany,Sales,Health and Safety,1,2025-07-01 00:00:00,1,0,1,0.0,1.0,
UK,Sales,Data Protection,1,2025-07-01 00:00:00,2,2,0,1.0,0.0,9.5
UK,People,Code of Conduct,1,2025-01-01 00:00:00,2,2,0,1.0,0.0,6.0
Ireland,Operations,Advanced Analytics,0,2025-06-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Sales,Leadership Essentials,0,2025-03-01 00:00:00,2,1,1,0.5,0.5,25.0
Germany,Supply Chain,Code of Conduct,1,2025-03-01 00:00:00,2,1,1,0.5,0.5,41.0
France,People,Stakeholder Management,0,2025-06-01 00:00:00,1,1,0,1.0,0.0,14.0
Germany,Commercial,Code of Conduct,1,2025-10-01 00:00:00,1,1,0,1.0,0.0,12.0
Ireland,Commercial,Health and Safety,1,2025-10-01 00:00:00,1,0,1,0.0,1.0,
Germany,Commercial,Stakeholder Management,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,33.0
Germany,People,Stakeholder Management,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,8.0
France,Operations,Data Protection,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,44.0
France,Supply Chain,Health and Safety,1,2025-04-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Sales,Leadership Essentials,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,31.0
Netherlands,Sales,Health and Safety,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,6.0
Germany,Supply Chain,Stakeholder Management,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,16.0
France,People,Leadership Essentials,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,6.0
France,Operations,Advanced Analytics,0,2025-12-01 00:00:00,2,0,2,0.0,1.0,
Germany,People,Code of Conduct,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,7.0
Netherlands,Supply Chain,Stakeholder Management,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,6.0
Germany,Operations,Stakeholder Management,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,29.0
France,Sales,Health and Safety,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,4.0
Germany,Operations,Code of Conduct,1,2025-10-01 00:00:00,2,1,1,0.5,0.5,45.0
Netherlands,Supply Chain,Stakeholder Management,0,2025-11-01 00:00:00,2,1,1,0.5,0.5,32.0
Germany,Sales,Advanced Analytics,0,2026-03-01 00:00:00,2,1,0,0.5,0.0,6.0
UK,Finance,Code of Conduct,1,2025-09-01 00:00:00,2,2,0,1.0,0.0,6.0
Ireland,Customer Support,Advanced Analytics,0,2026-03-01 00:00:00,3,1,0,0.3333,0.0,5.0
Netherlands,Finance,Leadership Essentials,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,9.0
Germany,People,Stakeholder Management,0,2025-05-01 00:00:00,1,1,0,1.0,0.0,9.0
Germany,Supply Chain,Code of Conduct,1,2025-08-01 00:00:00,1,0,1,0.0,1.0,
Germany,Technology,Health and Safety,1,2025-03-01 00:00:00,1,1,0,1.0,0.0,19.0
Germany,Commercial,Stakeholder Management,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,32.0
France,Finance,Advanced Analytics,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,2.0
Germany,Technology,Data Protection,1,2025-08-01 00:00:00,1,1,0,1.0,0.0,7.0
France,People,Health and Safety,1,2025-03-01 00:00:00,1,1,0,1.0,0.0,2.0
UK,Supply Chain,Data Protection,1,2025-01-01 00:00:00,2,1,1,0.5,0.5,8.0
UK,Operations,Stakeholder Management,0,2026-02-01 00:00:00,21,11,0,0.5238,0.0,37.5
UK,Operations,Advanced Analytics,0,2025-12-01 00:00:00,11,7,4,0.6364,0.3636,38.1
UK,Technology,Data Protection,1,2026-03-01 00:00:00,4,4,0,1.0,0.0,8.0
